arcade_pc	instruction	ref_or_scalar	target	target_space	access_guess	function
0x000124	btst.b #0x3,(0x00390007).l	ref	0x390007	arcade_inputs	read	FUN_00000100
0x000124	btst.b #0x3,(0x00390007).l	scalar	0x390007	arcade_inputs	unknown	FUN_00000100
0x00016A	lea (0xc20002).l,A0	ref	0xC20002	PC080SN_yscroll	unknown	FUN_0000016a
0x00016A	lea (0xc20002).l,A0	scalar	0xC20002	PC080SN_yscroll	unknown	FUN_0000016a
0x000170	lea (0xc40002).l,A1	ref	0xC40002	PC080SN_xscroll	unknown	FUN_0000016a
0x000170	lea (0xc40002).l,A1	scalar	0xC40002	PC080SN_xscroll	unknown	FUN_0000016a
0x000176	move.w #0x0,(A0)+	ref	0xC20002	PC080SN_yscroll	write	FUN_0000016a
0x00017A	move.w #0x0,(A1)+	ref	0xC40002	PC080SN_xscroll	write	FUN_0000016a
0x000180	lea (0x10c00c).l,A6	ref	0x10C00C	arcade_WRAM	unknown	FUN_00000180
0x000180	lea (0x10c00c).l,A6	scalar	0x10C00C	arcade_WRAM	unknown	FUN_00000180
0x0001A6	lea (0x10c010).l,A1	ref	0x10C010	arcade_WRAM	unknown	FUN_00000180
0x0001A6	lea (0x10c010).l,A1	scalar	0x10C010	arcade_WRAM	unknown	FUN_00000180
0x0001B4	move.w (A1)+,D3w	ref	0x10C010	arcade_WRAM	read	FUN_00000180
0x0001B4	move.w (A1)+,D3w	ref	0x10C012	arcade_WRAM	read	FUN_00000180
0x0001E4	move.b #0x0,(0x003e0001).l	ref	0x3E0001	arcade_sound_comm	write	FUN_000001e2
0x0001E4	move.b #0x0,(0x003e0001).l	scalar	0x3E0001	arcade_sound_comm	unknown	FUN_000001e2
0x0001EC	move.b D0b,(0x003e0003).l	ref	0x3E0003	arcade_sound_comm	write	FUN_000001e2
0x0001EC	move.b D0b,(0x003e0003).l	scalar	0x3E0003	arcade_sound_comm	unknown	FUN_000001e2
0x0001F4	move.b D0b,(0x003e0003).l	ref	0x3E0003	arcade_sound_comm	write	FUN_000001e2
0x0001F4	move.b D0b,(0x003e0003).l	scalar	0x3E0003	arcade_sound_comm	unknown	FUN_000001e2
0x00021A	move.b #0x0,(0x003e0001).l	ref	0x3E0001	arcade_sound_comm	write	FUN_00000210
0x00021A	move.b #0x0,(0x003e0001).l	scalar	0x3E0001	arcade_sound_comm	unknown	FUN_00000210
0x000222	move.b (0x003e0003).l,D3b	ref	0x3E0003	arcade_sound_comm	read	FUN_00000210
0x000222	move.b (0x003e0003).l,D3b	scalar	0x3E0003	arcade_sound_comm	unknown	FUN_00000210
0x000228	move.b (0x003e0003).l,D4b	ref	0x3E0003	arcade_sound_comm	read	FUN_00000210
0x000228	move.b (0x003e0003).l,D4b	scalar	0x3E0003	arcade_sound_comm	unknown	FUN_00000210
0x000256	move.w #0x0,(0x003c0000).l	ref	0x3C0000	arcade_watchdog	write	FUN_00000252
0x000256	move.w #0x0,(0x003c0000).l	scalar	0x3C0000	arcade_watchdog	unknown	FUN_00000252
0x000264	lea (0x200000).l,A0	ref	0x200000	arcade_palette_RAM	unknown	FUN_00000264
0x000264	lea (0x200000).l,A0	scalar	0x200000	arcade_palette_RAM	unknown	FUN_00000264
0x00027C	move.w #0x0,(A0)+	ref	0x200000	arcade_palette_RAM	write	FUN_00000264
0x00027C	move.w #0x0,(A0)+	ref	0x200006	arcade_palette_RAM	write	FUN_00000264
0x000288	move.w D2w,(A0)	ref	0x200002	arcade_palette_RAM	write	FUN_00000264
0x000288	move.w D2w,(A0)	ref	0x200004	arcade_palette_RAM	write	FUN_00000264
0x000288	move.w D2w,(A0)	ref	0x200008	arcade_palette_RAM	write	FUN_00000264
0x000292	add.w D2w,(A0)	ref	0x200002	arcade_palette_RAM	write	FUN_00000264
0x000292	add.w D2w,(A0)	ref	0x200004	arcade_palette_RAM	write	FUN_00000264
0x000292	add.w D2w,(A0)	ref	0x200008	arcade_palette_RAM	write	FUN_00000264
0x00029C	add.w D2w,(A0)+	ref	0x200002	arcade_palette_RAM	write	FUN_00000264
0x00029C	add.w D2w,(A0)+	ref	0x200004	arcade_palette_RAM	write	FUN_00000264
0x00029C	add.w D2w,(A0)+	ref	0x200008	arcade_palette_RAM	write	FUN_00000264
0x0002CA	lea (0xc08218).l,A0	ref	0xC08218	PC080SN_tilemap	unknown	FUN_000002ca
0x0002CA	lea (0xc08218).l,A0	scalar	0xC08218	PC080SN_tilemap	unknown	FUN_000002ca
